,species_pair,year,spearmans,lid_count,p_value
0,ACANTHIS FLAMMEA-AGELAIUS PHOENICEUS,2016,0.0,3,1.0
1,ACANTHIS FLAMMEA-AMMOSPIZA LECONTEII,2019,,3,
2,ACANTHIS FLAMMEA-ANTIGONE CANADENSIS,2016,-0.12499999999999997,8,0.7680549621582032
3,ACANTHIS FLAMMEA-ANTIGONE CANADENSIS,2017,0.8660254037844387,3,0.3333333333333332
4,ACANTHIS FLAMMEA-ANTIGONE CANADENSIS,2018,,3,
5,ACANTHIS FLAMMEA-BOMBYCILLA CEDRORUM,2022,0.8660254037844387,3,0.3333333333333332
6,ACANTHIS FLAMMEA-BONASA UMBELLUS,2016,-0.4042260417272216,7,0.3684273067131101
7,ACANTHIS FLAMMEA-BONASA UMBELLUS,2019,-1.0,5,0.0
8,ACANTHIS FLAMMEA-BOTAURUS LENTIGINOSUS,2016,0.8660254037844387,3,0.3333333333333332
9,ACANTHIS FLAMMEA-BRANTA CANADENSIS,2018,,5,
10,ACANTHIS FLAMMEA-BRANTA CANADENSIS,2022,0.8164965809277261,4,0.1835034190722738
11,ACANTHIS FLAMMEA-BRANTA CANADENSIS,2017,-0.20519567041703085,5,0.7405819415910722
12,ACANTHIS FLAMMEA-BRANTA CANADENSIS,2016,-0.6324555320336759,5,0.2522154963555042
13,ACANTHIS FLAMMEA-BRANTA CANADENSIS,2019,0.3333333333333333,4,0.6666666666666667
14,ACANTHIS FLAMMEA-BRANTA CANADENSIS,2020,0.5000000000000001,3,0.6666666666666667
15,ACANTHIS FLAMMEA-CARDELLINA PUSILLA,2019,0.5000000000000001,3,0.6666666666666667
16,ACANTHIS FLAMMEA-CATHARUS GUTTATUS,2018,-0.5313689313240573,6,0.27796339331848685
17,ACANTHIS FLAMMEA-CATHARUS GUTTATUS,2022,0.5,3,0.6666666666666667
18,ACANTHIS FLAMMEA-CATHARUS GUTTATUS,2017,-0.24325638628366394,7,0.5991442279687278
19,ACANTHIS FLAMMEA-CATHARUS GUTTATUS,2016,0.05634361698190111,8,0.8945790910017699
20,ACANTHIS FLAMMEA-CATHARUS GUTTATUS,2023,-0.5000000000000001,3,0.6666666666666667
21,ACANTHIS FLAMMEA-CATHARUS GUTTATUS,2019,-0.5825752650035353,7,0.16989229474668313
22,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2018,0.4236592728681617,7,0.3435426238940658
23,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2022,0.22360679774997896,5,0.7176856442107861
24,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2017,0.20960938184084413,7,0.6519214660953094
25,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2016,0.037267799624996496,9,0.9241664790435741
26,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2019,0.0570265948512201,8,0.8933067239187953
27,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2020,,3,
28,ACANTHIS FLAMMEA-CATHARUS USTULATUS,2021,0.8660254037844387,3,0.3333333333333332
29,ACANTHIS FLAMMEA-CHORDEILES MINOR,2023,0.0,3,1.0
30,ACANTHIS FLAMMEA-COLAPTES AURATUS,2016,-0.447213595499958,6,0.3739009663000589
31,ACANTHIS FLAMMEA-COLAPTES AURATUS,2023,-1.0,3,0.0
32,ACANTHIS FLAMMEA-COLAPTES AURATUS,2019,-0.408248290463863,5,0.4950253460597109
33,ACANTHIS FLAMMEA-CORTHYLIO CALENDULA,2018,0.13483997249264842,6,0.7989658591927786
34,ACANTHIS FLAMMEA-CORTHYLIO CALENDULA,2022,0.5000000000000001,4,0.4999999999999999
35,ACANTHIS FLAMMEA-CORTHYLIO CALENDULA,2016,0.4045867968563435,10,0.24616403690528713
36,ACANTHIS FLAMMEA-CORTHYLIO CALENDULA,2017,0.47434164902525683,5,0.41953112817892135
37,ACANTHIS FLAMMEA-CORTHYLIO CALENDULA,2019,-0.6885303726590963,8,0.058994323407616456
38,ACANTHIS FLAMMEA-CORTHYLIO CALENDULA,2020,,3,
39,ACANTHIS FLAMMEA-CORVUS BRACHYRHYNCHOS,2019,,3,
40,ACANTHIS FLAMMEA-CORVUS CORAX,2018,-0.5000000000000001,3,0.6666666666666667
41,ACANTHIS FLAMMEA-CORVUS CORAX,2017,0.18333333333333338,6,0.7280810185185185
42,ACANTHIS FLAMMEA-CORVUS CORAX,2016,0.35646552311960317,8,0.3860878627398726
43,ACANTHIS FLAMMEA-CORVUS CORAX,2019,,4,
44,ACANTHIS FLAMMEA-CORVUS CORAX,2020,0.5590169943749475,5,0.3272761314961451
45,ACANTHIS FLAMMEA-DRYOCOPUS PILEATUS,2021,0.8660254037844387,3,0.3333333333333332
46,ACANTHIS FLAMMEA-EMPIDONAX ALNORUM,2018,,3,
47,ACANTHIS FLAMMEA-EMPIDONAX ALNORUM,2022,-0.8660254037844387,3,0.3333333333333332
48,ACANTHIS FLAMMEA-EMPIDONAX ALNORUM,2017,-0.5923488777590924,5,0.29257811497070946
49,ACANTHIS FLAMMEA-EMPIDONAX ALNORUM,2016,0.3952847075210474,5,0.510140203242436
50,ACANTHIS FLAMMEA-EMPIDONAX ALNORUM,2023,0.8660254037844387,3,0.3333333333333332
51,ACANTHIS FLAMMEA-EMPIDONAX ALNORUM,2019,,3,
52,ACANTHIS FLAMMEA-EMPIDONAX FLAVIVENTRIS,2018,,4,
53,ACANTHIS FLAMMEA-FULICA AMERICANA,2016,,3,
54,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2018,-0.6642111641550715,6,0.15020042233101136
55,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2022,0.8333333333333335,4,0.16666666666666646
56,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2017,-0.354686214356698,8,0.3886337762815239
57,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2016,0.09496164154825595,10,0.7941345323770628
58,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2023,0.8660254037844387,3,0.3333333333333332
59,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2019,-0.7745966692414834,4,0.22540333075851657
60,ACANTHIS FLAMMEA-GALLINAGO DELICATA,2020,0.8164965809277261,4,0.1835034190722738
61,ACANTHIS FLAMMEA-GEOTHLYPIS TRICHAS,2018,0.5000000000000001,3,0.6666666666666667
62,ACANTHIS FLAMMEA-GEOTHLYPIS TRICHAS,2022,0.0,3,1.0
63,ACANTHIS FLAMMEA-GEOTHLYPIS TRICHAS,2017,-0.8944271909999159,4,0.10557280900008413
